Numero;Nimi;Pullokoko;Hinta;Litrahinta;Tyyppi;Luonnehdinta;Pakkaustyyppi;ProsAlkohol;EurPerLAlkohol
25422;Mernaya na Moloke 40% 100cl;-;18,5;18,5;-;-;-;40;46,25
25425;Cameleon Chardonnay Organic 13% 75cl;-;7,99;10,65;-;-;-;13;81,92307692
25426;Cameleon Cabernet Sauvignon Organic 13% 75cl;-;7,99;10,65;-;-;-;13;81,92307692
25427;Bousquet Sauvignon Blanc 11,5% 75cl;-;7,99;10,65;-;-;-;11,5;92,60869565
25428;Bousquet Torrontes Chardonnay 13% 75cl;-;7,99;10,65;-;-;-;13;81,92307692
25430;Bousquet Cabernet Sauvignon 13% 75cl;-;7,99;10,65;-;-;-;13;81,92307692
25432;Bousquet Reserve Malbec Organic 13,4% 75cl;-;10,99;14,65;-;-;-;13,4;109,3283582
25433;Youngs Special London Ale 6,4% 50cl;-;2,8;5,6;-;-;-;6,4;87,5
25431;Bousquet Reserve Chardonnay Pinot Gris 13,5% 75cl;-;10,99;14,65;-;-;-;13,5;108,5185185
25434;Youngs Double Chocolate Stout 5,2% 50cl;-;2,9;5,8;-;-;-;5,2;111,5384615
25437;Samuel Adams Boston Lager 4,7% 35,5cl;-;2,6;7,32;-;-;-;4,7;155,7446809
25436;Peroni Nastro Azzurro 5,1% 33cl;-;1,8;5,45;-;-;-;5,1;106,8627451
25452;Canadian Club 40% 100cl;-;27,5;27,5;-;-;-;40;68,75
25445;A.Le Coq Mojito 4,7% 33cl;-;1,1;3,33;-;-;-;4,7;70,85106383
25449;Paulaner Original Münchner Hell 4.9% 500cl;-;20,99;4,2;-;-;-;4.syys;85,71428571
25451;Jalokahvi 28% 50cl PET;-;9,5;19;-;-;-;28;67,85714286
25457;Armagnac Larressingle VSOP 40% 70cl;-;40,99;54,65;-;-;-;40;136,625
25461;Glendronach 12YO 43% 70cl;-;43,99;62,84;-;-;-;43;146,1395349
